Date,Description,Amount,Transaction Type,Category
01/01/2018,Amazon,11.11,Expenses,Shopping
01/02/2018,Mortgage Payment,1247.44,Expenses,Mortgage & Rent
01/02/2018,Thai Restaurant,24.22,Expenses,Restaurants
01/03/2018,Credit Card Payment,2298.09,Income,Credit Card Payment
01/04/2018,Netflix,11.76,Expenses,Movies & DVDs
01/05/2018,American Tavern,25.85,Expenses,Restaurants
01/06/2018,Hardware Store,18.45,Expenses,Home Improvement
01/08/2018,Gas Company,45.0,Expenses,Utilities
01/08/2018,Hardware Store,15.38,Expenses,Home Improvement
01/09/2018,Spotify,10.69,Expenses,Music
01/10/2018,Phone Company,89.46,Expenses,Mobile Phone
01/11/2018,Shell,34.87,Expenses,Gas & Fuel
01/11/2018,Grocery Store,43.54,Expenses,Groceries
01/12/2018,Biweekly Paycheck,2000.0,Income,Paycheck
01/13/2018,Pizza Place,32.91,Expenses,Fast Food
01/13/2018,Amazon,39.05,Expenses,Shopping
01/15/2018,Grocery Store,44.19,Expenses,Groceries
01/15/2018,American Tavern,64.11,Expenses,Restaurants
01/16/2018,City Water Charges,35.0,Expenses,Utilities
01/16/2018,Power Company,60.0,Expenses,Utilities
01/19/2018,Biweekly Paycheck,2000.0,Income,Paycheck
01/20/2018,Amazon,50.21,Expenses,Shopping
01/22/2018,Credit Card Payment,554.99,Transaction Type,Category
01/22/2018,Credit Card Payment,309.81,Income,Credit Card Payment
01/22/2018,Credit Card Payment,554.99,Expenses,Credit Card Payment
01/22/2018,Hardware Store,17.38,Expenses,Home Improvement
01/23/2018,Credit Card Payment,309.81,Expenses,Credit Card Payment
01/24/2018,Starbucks,3.0,Expenses,Coffee Shops
01/25/2018,Internet Service Provider,69.99,Expenses,Internet
01/29/2018,Shell,30.42,Expenses,Gas & Fuel
01/29/2018,Thai Restaurant,25.0,Expenses,Restaurants
01/29/2018,Brunch Restaurant,17.62,Expenses,Restaurants
02/01/2018,Grocery Store,27.79,Expenses,Groceries
02/01/2018,Amazon,11.11,Expenses,Shopping
02/02/2018,Mortgage Payment,1247.44,Expenses,Mortgage & Rent
02/02/2018,Biweekly Paycheck,2000.0,Income,Paycheck
02/03/2018,Japanese Restaurant,57.02,Expenses,Restaurants
02/04/2018,Netflix,11.76,Expenses,Movies & DVDs
02/05/2018,Credit Card Payment,145.14,Income,Credit Card Payment
02/06/2018,Credit Card Payment,154.13,Income,Credit Card Payment
02/07/2018,Credit Card Payment,154.13,Expenses,Credit Card Payment
02/07/2018,Gas Company,65.0,Expenses,Utilities
02/09/2018,Barbershop,30.0,Expenses,Haircut
02/09/2018,Spotify,10.69,Expenses,Music
02/10/2018,Bojangles,10.66,Expenses,Fast Food
02/11/2018,Fancy Restaurant,106.8,Expenses,Restaurants
02/12/2018,Shell,36.47,Expenses,Gas & Fuel
02/12/2018,Phone Company,89.52,Expenses,Mobile Phone
02/14/2018,Brewing Company,14.0,Expenses,Alcohol & Bars
02/15/2018,American Tavern,10.0,Expenses,Restaurants
02/15/2018,Power Company,60.0,Expenses,Utilities
02/16/2018,Biweekly Paycheck,2000.0,Income,Paycheck
02/16/2018,Brunch Restaurant,8.0,Expenses,Restaurants
02/16/2018,City Water Charges,35.0,Expenses,Utilities
02/20/2018,Grocery Store,35.95,Expenses,Groceries
02/20/2018,Mexican Restaurant,23.51,Expenses,Restaurants
02/21/2018,Starbucks,2.0,Expenses,Coffee Shops
02/22/2018,Starbucks,4.0,Expenses,Coffee Shops
02/26/2018,Credit Card Payment,765.37,Income,Credit Card Payment
02/26/2018,Credit Card Payment,156.11,Income,Credit Card Payment
02/26/2018,Credit Card Payment,765.37,Expenses,Credit Card Payment
02/26/2018,Internet Service Provider,74.99,Expenses,Internet
